advfront,relaxhr,emailhr,emailmin,tvhr,polviews,wrkstat,email
Strongly agree,3,25,0,3,Conservative,Temp not working,1500
Disagree,3,20,0,1,Slghtly conservative,Working fulltime,1200
Not applicable,7,7,0,1,Moderate,Working fulltime,420
Strongly agree,Not applicable,2,0,10,Slightly liberal,Retired,120
Agree,0,0,0,4,Moderate,Working fulltime,0
Not applicable,4,2,0,2,Don't know,Working fulltime,120
Agree,0,20,0,3,Conservative,Working fulltime,1200
Not applicable,5,1,0,3,Moderate,Working parttime,60
Agree,Not applicable,1,0,8,Moderate,Retired,60
Strongly agree,Not applicable,0,0,8,Liberal,Keeping house,0
Agree,5,1,0,5,Slghtly conservative,Working parttime,60
Not applicable,Not applicable,14,0,3,Liberal,"Unempl, laid off",840
Agree,Not applicable,0,30,1,Conservative,Keeping house,30
Not applicable,4,15,0,0,Moderate,Working fulltime,900
Agree,2,4,30,1,Conservative,Working fulltime,270
Agree,8,1,0,5,Moderate,Working fulltime,60
Strongly agree,1,2,0,1,Extremely liberal,Working fulltime,120
Strongly agree,2,1,0,2,Conservative,Working parttime,60
Agree,4,1,0,2,Moderate,Working fulltime,60
Agree,Not applicable,1,0,3,Extrmly conservative,Keeping house,60
Not applicable,Not applicable,3,1,5,Extrmly conservative,Retired,181
Agree,Not applicable,3,30,3,Moderate,Keeping house,210
Strongly agree,0,10,0,3,Extremely liberal,Working fulltime,600
Agree,7,0,0,2,Conservative,Working parttime,0
Strongly agree,8,10,0,2,Moderate,Working parttime,600
Strongly agree,3,7,0,1,Slghtly conservative,Working fulltime,420
Not applicable,5,0,15,2,Slightly liberal,Working parttime,15
Agree,6,0,0,5,Moderate,Working fulltime,0
Not applicable,Not applicable,3,0,8,Moderate,Retired,180
Not applicable,3,5,0,5,Slghtly conservative,Working parttime,300
Agree,1,10,0,2,Slightly liberal,Working parttime,600
Not applicable,Not applicable,21,0,3,Slightly liberal,Keeping house,1260
Agree,Not applicable,3,0,0,Conservative,Retired,180
Agree,Not applicable,7,0,2,Moderate,Retired,420
Strongly agree,2,25,0,2,Moderate,Working fulltime,1500
Strongly agree,2,1,0,20,Moderate,Working fulltime,60
Not applicable,3,3,0,1,Slightly liberal,Working fulltime,180
Disagree,Not applicable,0,30,1,Moderate,Keeping house,30
