Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction,JobSatisfaction2
United States,Male,56,"Independent contractor, freelancer, or self-employed",Mix of fields,Master's degree,Mathematics or statistics,250000,USD,Operations Research Practitioner,Poorly,Python,Yes,100% of projects,10 - Highly Satisfied,10
Russia,Male,33,Employed full-time,Internet-based,Bachelor's degree,Other,1200000,RUB,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,7,7
Taiwan,Male,26,Employed full-time,Financial,Master's degree,Computer Science,1100000,TWD,Software Developer/Software Engineer,Fine,Python,No,26-50% of projects,5,5
United States,Male,25,Employed part-time,Academic,Bachelor's degree,Physics,20000,USD,Researcher,Fine,Python,Yes,76-99% of projects,6,6
United States,Male,33,Employed full-time,Telecommunications,Doctoral degree,Electrical Engineering,1.00E+05,USD,Scientist/Researcher,Perfectly,Matlab,No,Less than 10% of projects,7,7
Czech Republic,Male,21,Employed part-time,Academic,Some college/university study without earning a bachelor's degree,Computer Science,20000,CZK,Other,Fine,Python,Sort of (Explain more),10-25% of projects,5,5
Russia,Male,22,Employed full-time,Mix of fields,Bachelor's degree,"Information technology, networking, or system administration",624000,RUB,Data Analyst,Fine,Python,Yes,26-50% of projects,8,8
Poland,Male,29,Employed full-time,Pharmaceutical,Master's degree,Computer Science,126000,PLN,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,9,9
United States,Male,35,Employed full-time,Technology,Doctoral degree,Physics,133000,USD,Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,8,8
Sweden,Male,37,Employed full-time,Technology,Master's degree,Electrical Engineering,80000,USD,Machine Learning Engineer,Perfectly,Python,Yes,100% of projects,9,9
Iran,Male,31,Employed part-time,Technology,Doctoral degree,Computer Science,15000,USD,Scientist/Researcher,Fine,Python,Yes,Less than 10% of projects,6,6
United States,Male,40,Employed full-time,Technology,Doctoral degree,Physics,215000,USD,Scientist/Researcher,Perfectly,Python,Yes,Less than 10% of projects,8,8
United States,Male,25,Employed full-time,CRM/Marketing,Master's degree,Engineering (non-computer focused),61000,HKD,Engineer,Poorly,Python,Sort of (Explain more),Less than 10% of projects,6,6
Germany,Male,44,Employed full-time,Internet-based,Master's degree,A humanities discipline,65000,EUR,Other,Fine,Python,No,76-99% of projects,7,7
United States,Female,31,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),83500,USD,Scientist/Researcher,Perfectly,R,Yes,100% of projects,7,7
United States,Female,39,Employed full-time,Insurance,Master's degree,Engineering (non-computer focused),115000,USD,Predictive Modeler,Fine,R,Yes,10-25% of projects,10 - Highly Satisfied,10
Hungary,Male,40,Employed full-time,Academic,Doctoral degree,A social science,4.00E+06,HUF,Researcher,Fine,R,Sort of (Explain more),76-99% of projects,8,8
United States,Male,50,Employed full-time,Insurance,Doctoral degree,Mathematics or statistics,135000,USD,Predictive Modeler,Perfectly,R,Yes,76-99% of projects,8,8
Brazil,Male,25,Employed full-time,Academic,Master's degree,Computer Science,1500,BRL,Computer Scientist,Perfectly,Python,Sort of (Explain more),10-25% of projects,10 - Highly Satisfied,10
Brazil,Male,32,Employed full-time,Academic,Master's degree,Computer Science,25000,BRL,Scientist/Researcher,Fine,Python,Yes,10-25% of projects,10 - Highly Satisfied,10
Hungary,Male,38,Employed full-time,Technology,Bachelor's degree,Computer Science,372000,HUF,Researcher,Fine,Python,Sort of (Explain more),100% of projects,2,2
Brazil,Male,38,Employed full-time,Technology,Bachelor's degree,"Information technology, networking, or system administration",60000,BRL,Programmer,Fine,Python,Sort of (Explain more),26-50% of projects,6,6
Russia,Male,31,"Independent contractor, freelancer, or self-employed",CRM/Marketing,Some college/university study without earning a bachelor's degree,Computer Science,840000,RUB,Business Analyst,Fine,R,Sort of (Explain more),None,5,5
United Kingdom,Female,31,Employed full-time,Government,Doctoral degree,A social science,29000,GBP,Data Analyst,Poorly,SQL,Sort of (Explain more),51-75% of projects,7,7
United Kingdom,Male,30,Employed full-time,Technology,Bachelor's degree,A social science,45000,GBP,Data Analyst,Poorly,SQL,Yes,76-99% of projects,7,7
United States,Male,62,"Independent contractor, freelancer, or self-employed",Non-profit,Master's degree,Other,65000,USD,Programmer,Fine,Python,Sort of (Explain more),76-99% of projects,5,5
France,Male,26,Employed full-time,Government,Master's degree,A health science,25000,EUR,Scientist/Researcher,Poorly,R,No,100% of projects,10 - Highly Satisfied,10
Canada,A different identity,23,Employed full-time,Academic,Bachelor's degree,Electrical Engineering,85000,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,8,8
India,Male,23,Employed full-time,Technology,Master's degree,Computer Science,360000,INR,Engineer,Fine,Python,Sort of (Explain more),26-50% of projects,10 - Highly Satisfied,10
United States,Female,31,Employed full-time,Insurance,Master's degree,Other,92000,USD,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),76-99% of projects,6,6
United States,Male,50,Employed full-time,Financial,Doctoral degree,Physics,305000,USD,Scientist/Researcher,Perfectly,Python,Yes,Less than 10% of projects,9,9
New Zealand,Male,30,Employed full-time,Government,Bachelor's degree,Computer Science,90000,NZD,Data Analyst,Fine,R,Yes,76-99% of projects,9,9
Netherlands,Male,26,Employed full-time,Financial,Master's degree,"Information technology, networking, or system administration",35000,EUR,Business Analyst,Poorly,Python,Yes,76-99% of projects,8,8
United States,Male,52,"Independent contractor, freelancer, or self-employed",Other,Master's degree,Biology,140000,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,7,7
Belarus,Male,31,Employed full-time,Mix of fields,Master's degree,Other,25000,USD,Programmer,Fine,Python,No,10-25% of projects,6,6
Czech Republic,Male,25,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,25000,CZK,Other,Fine,R,Yes,51-75% of projects,9,9
United States,Female,28,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,80000,USD,Engineer,Perfectly,Python,Yes,100% of projects,3,3
France,Male,30,Employed full-time,Pharmaceutical,Doctoral degree,Biology,33000,EUR,Other,Fine,Python,Sort of (Explain more),76-99% of projects,5,5
United States,Male,26,Employed full-time,CRM/Marketing,Bachelor's degree,Mathematics or statistics,85000,USD,Data Analyst,Fine,Python,Sort of (Explain more),10-25% of projects,3,3
United Kingdom,Male,23,Employed full-time,Insurance,Master's degree,Other,42500,GBP,Data Analyst,Fine,Python,Yes,76-99% of projects,7,7
United States,Male,26,Employed full-time,Manufacturing,Master's degree,Other,80000,USD,Other,Poorly,R,Sort of (Explain more),Less than 10% of projects,5,5
Canada,Male,52,Employed full-time,Academic,Bachelor's degree,Computer Science,90000,USD,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,8,8
Japan,Male,48,"Independent contractor, freelancer, or self-employed",Financial,Master's degree,Engineering (non-computer focused),0,JPY,Software Developer/Software Engineer,Fine,Python,Yes,None,10 - Highly Satisfied,10
Russia,Male,26,"Independent contractor, freelancer, or self-employed",Military/Security,Bachelor's degree,Computer Science,60000,RUB,Machine Learning Engineer,Poorly,Python,Yes,10-25% of projects,7,7
United States,Male,52,Employed full-time,Other,Doctoral degree,Electrical Engineering,170075,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),26-50% of projects,6,6
Australia,Male,38,Employed full-time,Technology,Doctoral degree,A humanities discipline,3.00E+05,AUD,Software Developer/Software Engineer,Fine,Python,Yes,10-25% of projects,9,9
United States,Female,25,Employed full-time,Academic,Doctoral degree,Electrical Engineering,30000,USD,Scientist/Researcher,Perfectly,Python,Yes,100% of projects,10 - Highly Satisfied,10
Czech Republic,Male,25,"Independent contractor, freelancer, or self-employed",Internet-based,Master's degree,Computer Science,36000,USD,Software Developer/Software Engineer,Fine,SQL,Sort of (Explain more),10-25% of projects,6,6
South Korea,Male,27,Employed full-time,Financial,Bachelor's degree,Mathematics or statistics,4.00E+07,KRW,Business Analyst,Fine,SQL,Sort of (Explain more),10-25% of projects,3,3
Other,Male,28,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Computer Science,30000,PEN,Engineer,Fine,Python,Yes,10-25% of projects,10 - Highly Satisfied,10
United States,Male,31,Employed full-time,Academic,Doctoral degree,Physics,49000,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,3,3
Russia,Male,22,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Computer Science,18000,USD,Other,Fine,Python,Yes,51-75% of projects,7,7
United States,Female,31,Employed full-time,Pharmaceutical,Bachelor's degree,Other,65000,USD,Data Analyst,Fine,Python,No,26-50% of projects,1 - Highly Dissatisfied,1
Chile,Male,30,Employed full-time,Other,Doctoral degree,Electrical Engineering,2.00E+06,CLP,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,10 - Highly Satisfied,10
Mexico,Male,21,Employed full-time,Academic,Bachelor's degree,Other,30000,MXN,Engineer,Fine,Other,Sort of (Explain more),10-25% of projects,6,6
United States,Male,27,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,115000,USD,Software Developer/Software Engineer,Fine,Python,Yes,Less than 10% of projects,7,7
United States,Male,57,"Independent contractor, freelancer, or self-employed",Mix of fields,Master's degree,Other,40000,USD,Predictive Modeler,Poorly,R,Sort of (Explain more),51-75% of projects,9,9
United States,A different identity,37,Employed full-time,Technology,Master's degree,Computer Science,135000,USD,Software Developer/Software Engineer,Fine,C/C++/C#,Yes,100% of projects,6,6
United States,Female,25,Employed full-time,Academic,Master's degree,Mathematics or statistics,50000,USD,Data Analyst,Perfectly,Python,No,76-99% of projects,6,6
United States,Male,29,Employed full-time,Financial,Bachelor's degree,Computer Science,470000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied,10
Italy,Male,32,Employed full-time,Other,Master's degree,Mathematics or statistics,40000,EUR,Other,Fine,Matlab,Yes,76-99% of projects,4,4
France,Male,53,"Independent contractor, freelancer, or self-employed",Pharmaceutical,Master's degree,Mathematics or statistics,60000,EUR,Statistician,Fine,R,No,76-99% of projects,10 - Highly Satisfied,10
United Kingdom,Male,31,Employed full-time,Academic,Master's degree,Computer Science,31000,GBP,Scientist/Researcher,Poorly,Python,Sort of (Explain more),76-99% of projects,8,8
Ukraine,Male,22,Employed full-time,Financial,Master's degree,Mathematics or statistics,17200,USD,Data Analyst,Fine,Python,No,10-25% of projects,3,3
Portugal,Male,29,Employed full-time,Academic,Doctoral degree,Computer Science,12000,EUR,Scientist/Researcher,Fine,Python,Yes,10-25% of projects,7,7
United States,Female,48,Employed full-time,Mix of fields,Master's degree,Engineering (non-computer focused),130000,USD,Predictive Modeler,Fine,Python,Yes,Less than 10% of projects,6,6
United States,Male,47,Employed full-time,Technology,Bachelor's degree,Computer Science,178000,USD,Other,Fine,Python,No,10-25% of projects,9,9
